,Smiles,S_Hit
65020,FC(F)(F)c1cccc(Nc2nc3ccccc3nc2Nc4cccc(c4)C(F)(F)F)c1,Yes
65023,CCCCCCc1cc2C=C(C(=Nc3ccccc3C)Oc2cc1O)c4nc5ccccc5[nH]4,Yes
65024,c12c(ncnc1NCCCN(CC3)CCO3)c4c(ccc(Cl)c4)[nH]2,Yes
65027,c12c(ncnc1NCCN(CC)CC)c3c(ccc(Br)c3)[nH]2,Yes
65028,c12c(ncnc1NCCN(CC)CC)c3c(ccc(Cl)c3)[nH]2,Yes
65029,Clc1ccc(cc1)C2(CN3CCC(CC3)NC(=O)CCc4occc4)CCC2,Yes
65031,Cc1ccc(cc1NCc2cc(Cc3ccccc3)ccc2O)c4oc5ccccc5n4,Yes
65036,COc1cccc(NC(=O)[C@H](C(C)C)N2C(=O)Nc3ccccc3C2=O)c1,Yes
65037,COc1cccc(NC(=O)Cn2c(C)c(C#N)c3ccccc23)c1,Yes
65040,CC(=O)c1ccc(NC(=O)CSc2nc(ns2)c3ccccc3Cl)cc1,Yes
65041,COc1ccc(NC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4)cc1Cl,Yes
65042,COc1ccc(NC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4)cc1,Yes
65043,CC(C)CN1C(C(C(=O)Nc2cc(C)on2)c3ccccc3C1=O)c4cccs4,Yes
65046,COc1ccc(cc1)C2C(C(=O)Nc3cccc(OC)c3)c4ccccc4C(=O)N2C5CCCCC5,Yes
65047,COc1ccc(CCN2CCC(CN(C)Cc3cnn(c3)c4ccccc4)CC2)cc1,Yes
65051,n1(nc(C)c2c3ccc(OC)c(OC)c3)c2ncc(C#N)c1N,Yes
65055,OC(COc1ccccc1C(=O)CCc2ccccc2)CN3CCCCC3,Yes
65057,COc1ccc(cc1)C(=O)C(CCC(CNC(C)(C)C)C(=O)c2ccc(OC)cc2)CNC(C)(C)C,Yes
65058,CC1=C(CC(=O)c2cccc(c2)[N+](=O)[O-])C(=O)c3ccccc3C1=O,Yes
65060,COc1ccc(cc1)C2=CC(=O)Oc3c4CN(Cc5ccc(F)cc5)COc4ccc23,Yes
65062,c1(C(c(cccn2)c2)N3CCC(CC3)Cc4ccccc4)c(C)c(C)sc1NC(=O)c5ccco5,Yes
65063,CN(C)CCCNCc1oc(cc1)c2ccc(F)c(Cl)c2,Yes
65064,COc1ccc2C(=O)C=C(Oc2c1)C(Cl)(Cl)Cl,Yes
65065,Clc1cc(Br)ccc1c2oc(CNCC3CCNCC3)cc2,Yes
65068,CCCc1cc(O)c2C3=C(CN(C)CC3)C(=O)Oc2c1,Yes
65069,CCCCCCc1cc(O)c2C3=C(CCC(C)C3)C(=O)Oc2c1,Yes
65075,COc1cccc(c1)c2nn(C)c3sc(cc23)C(=O)NCCN4CCN(CC4)c5ccccc5F,Yes
